,precision,recall,f1-score,support
0,0.9928789420142421,0.9959183673469387,0.9943963321446765,980.0
1,0.9930008748906387,1.0,0.9964881474978051,1135.0
2,0.9951456310679612,0.9932170542635659,0.9941804073714839,1032.0
3,0.9901671583087512,0.997029702970297,0.9935865811544154,1010.0
4,0.9979445015416238,0.9887983706720977,0.9933503836317136,982.0
5,0.9965635738831615,0.9753363228699552,0.9858356940509916,892.0
6,0.9958071278825996,0.9916492693110647,0.9937238493723849,958.0
7,0.989351403678606,0.9941634241245136,0.9917515769044153,1028.0
8,1.0,0.9907597535934292,0.9953584321815369,974.0
9,0.9776482021379981,0.9970267591674926,0.9872423945044162,1009.0
accuracy,0.9927,0.9927,0.9927,0.9927
macro avg,0.9928507415405582,0.9923899024319354,0.9925913798813839,10000.0
weighted avg,0.992753619319684,0.9927,0.9926989353861206,10000.0
