,precision,recall,f1-score,support
0,0.9928934010152284,0.9979591836734694,0.9954198473282443,980.0
1,0.9903846153846154,0.9982378854625551,0.9942957437472576,1135.0
2,0.9951076320939335,0.9854651162790697,0.9902629016553067,1032.0
3,0.9950199203187251,0.9891089108910891,0.9920556107249255,1010.0
4,0.9888438133874239,0.9928716904276986,0.9908536585365855,982.0
5,0.9895712630359212,0.9573991031390134,0.9732193732193732,892.0
6,0.9936842105263158,0.9853862212943633,0.989517819706499,958.0
7,0.9873417721518988,0.9863813229571985,0.9868613138686133,1028.0
8,0.9586206896551724,0.9989733059548255,0.9783810960281549,974.0
9,0.9890438247011952,0.9841427155599604,0.9865871833084948,1009.0
accuracy,0.988,0.988,0.988,0.988
macro avg,0.9880511142270428,0.9875925455639243,0.9877454548123457,10000.0
weighted avg,0.9881364044977814,0.988,0.987995573189533,10000.0
