,precision,recall,f1-score,support
0,0.9908906882591093,0.9989795918367347,0.9949186991869918,980.0
1,0.9930008748906387,1.0,0.9964881474978051,1135.0
2,0.9980525803310614,0.9932170542635659,0.9956289460903351,1032.0
3,0.9950396825396826,0.9930693069306931,0.9940535183349851,1010.0
4,0.9899091826437941,0.9989816700610998,0.9944247339077548,982.0
5,0.9910414333706606,0.992152466367713,0.9915966386554622,892.0
6,0.9989462592202318,0.9895615866388309,0.994231777661248,958.0
7,0.9846596356663471,0.9990272373540856,0.9917914051183003,1028.0
8,0.9989680082559339,0.9938398357289527,0.9963973237261966,974.0
9,0.9979777553083923,0.9781962338949455,0.987987987987988,1009.0
accuracy,0.9938,0.9938,0.9938,0.9938
macro avg,0.9938486100485852,0.993702498307662,0.9937519178167067,10000.0
weighted avg,0.9938384002629808,0.9938,0.9937953269525193,10000.0
