,precision,recall,f1-score,support
0,0.9878665318503539,0.996938775510204,0.9923819197562214,980.0
1,0.9920774647887324,0.9929515418502203,0.992514310876266,1135.0
2,0.989423076923077,0.997093023255814,0.9932432432432432,1032.0
3,0.9786614936954413,0.999009900990099,0.9887310142087212,1010.0
4,0.9968911917098445,0.9796334012219959,0.9881869542886491,982.0
5,0.9920724801812004,0.9820627802690582,0.9870422535211267,892.0
6,0.9978448275862069,0.9665970772442589,0.9819724284199364,958.0
7,0.9950592885375494,0.9795719844357976,0.9872549019607842,1028.0
8,0.9768611670020121,0.9969199178644764,0.9867886178861789,974.0
9,0.974559686888454,0.9871159563924677,0.9807976366322009,1009.0
accuracy,0.988,0.988,0.988,0.988
macro avg,0.9881317209162873,0.9877894359034393,0.9878913280793327,10000.0
weighted avg,0.9881175444520867,0.988,0.9879909209660808,10000.0
