,precision,recall,f1-score,support
0,0.9918450560652395,0.9928571428571429,0.9923508414074452,980.0
1,0.9938542581211589,0.9973568281938326,0.9956024626209323,1135.0
2,0.9884504331087585,0.9951550387596899,0.9917914051183004,1032.0
3,0.9901185770750988,0.9920792079207921,0.9910979228486647,1010.0
4,0.9938712972420838,0.9908350305498982,0.9923508414074451,982.0
5,0.9976662777129521,0.9585201793721974,0.9777015437392795,892.0
6,0.9645748987854251,0.9947807933194155,0.9794450154162385,958.0
7,0.9941348973607038,0.9892996108949417,0.9917113603120429,1028.0
8,0.9795291709314228,0.9825462012320328,0.9810353664787289,974.0
9,0.9900497512437811,0.9861248761149654,0.9880834160873883,1009.0
accuracy,0.9884,0.9884,0.9884,0.9884
macro avg,0.9884094617646625,0.9879554909214908,0.9881170175436467,10000.0
weighted avg,0.9885088320352641,0.9884,0.9883940772042835,10000.0
